city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Viella,42.7023,0.7958,Spain,ES,Catalonia,,3491,3491
San Francisco Javier,38.7056,1.4292,Spain,ES,Balearic Islands,,3475,3475
Milagro,42.2417,-1.7628,Spain,ES,Navarre,,3416,3416
Oza de los Ríos,43.2167,-8.1831,Spain,ES,Galicia,,3204,3204
Cortes,41.9228,-1.4219,Spain,ES,Navarre,,3151,3151
Estartit,42.0531,3.1994,Spain,ES,Catalonia,,3025,3025
Leiza,43.0789,-1.9147,Spain,ES,Navarre,,2913,2913
Marcilla,42.3278,-1.7375,Spain,ES,Navarre,,2858,2858
Villafranca,42.2831,-1.7500,Spain,ES,Navarre,,2847,2847
Puente la Reina,42.6717,-1.8155,Spain,ES,Navarre,,2840,2840
Jarandilla de la Vera,40.1269,-5.6583,Spain,ES,Extremadura,,2828,2828
Ribadesella,43.4615,-5.0592,Spain,ES,Asturias,,2772,2772
Caparroso,42.3398,-1.6507,Spain,ES,Navarre,,2766,2766
Vegadeo,43.4683,-7.0539,Spain,ES,Asturias,,2725,2725
Losar de la Vera,40.1219,-5.6000,Spain,ES,Extremadura,,2699,2699
Alcuéscar,39.1811,-6.2294,Spain,ES,Extremadura,,2593,2593
Madroñera,39.4254,-5.7572,Spain,ES,Extremadura,,2533,2533
Carcastillo,42.3800,-1.4444,Spain,ES,Navarre,,2495,2495
Fustiñana,42.0197,-1.4861,Spain,ES,Navarre,,2490,2490
Echarri-Aranaz,42.9111,-2.0700,Spain,ES,Navarre,,2483,2483
Ablitas,41.9736,-1.6386,Spain,ES,Navarre,,2481,2481
Funes,42.3140,-1.8029,Spain,ES,Navarre,,2440,2440
Valtierra,42.1953,-1.6342,Spain,ES,Navarre,,2412,2412
Valverde del Fresno,40.2239,-6.8798,Spain,ES,Extremadura,,2309,2309
Palencia,42.0095,-4.5241,Spain,ES,Castille-Leon,minor,,
Lleida,41.6167,0.6222,Spain,ES,Catalonia,minor,,
Segovia,40.9481,-4.1184,Spain,ES,Castille-Leon,minor,,
Huesca,42.1484,-0.4125,Spain,ES,Aragon,minor,,
Ciudad Real,38.9863,-3.9291,Spain,ES,Castille-La Mancha,minor,,
Soria,41.7636,-2.4674,Spain,ES,Castille-Leon,minor,,
Teruel,40.3456,-1.1065,Spain,ES,Aragon,minor,,
Cuenca,40.0667,-2.1333,Spain,ES,Castille-La Mancha,minor,,
